"N° ordine
(ex ID
Sepack)"	ID Sepack	Data Evasione	Richiedente	Nome pacchetto carta	"Descrizione campione
(Ex Identificazione del campione)
"	Codice analisi	"valore
(ex Nota parametro/analisi richiesta)"	"NotaParam
(Ex Nota generale sul campione)"
24-000140	24LD00334	2025-12-31	PREPACK SRL		Consulenza biennale_fattura 3/3	0004_EXT		
24-001182	24LD03166	2025-12-31	CHIMA S.R.L.		VASCHETTA A-PET + CARTONE BELLAVITE	6127PCART		
24-001182	24LD03167	2025-12-31	CHIMA S.R.L.		VASCHETTA A-PET + CARTONE BELLAVITE	1123SQ		
24-001182	24LD03167	2025-12-31	CHIMA S.R.L.		VASCHETTA A-PET + CARTONE BELLAVITE	1124SQ		
25-000212	25LD01166	2025-06-25	ECOL STUDIO SPA		Elaborazione dati e stesura relazione tecnica multipla	3016M		
25-000250	25LD00559	2025-08-01	TELLARINI POMPE SNC DI GIOVANNI TELLARINI E C.		TELLARINI POMPE SNC DI GIOVANNI TELLARINI E C.Dossier tecnico-STEP 2-Assistenza tecnico-specialistica per la valutazione del rischio per componenti di macchina a contatto con gli alimenti e predisposizione del dossier tecnico, ai sensi del Reg. (CE)	0004_EXT		
25-000362	25LD00815	2025-06-01	3P PRODUZIONI PLASTICHE		COPERCHIO IN PS COLORE BIANCO	1601UE	10gg 40°C	
25-000362	25LD00815	2025-06-01	3P PRODUZIONI PLASTICHE		COPERCHIO IN PS COLORE BIANCO	1602UE	10gg 40°C	
25-000362	25LD00815	2025-06-01	3P PRODUZIONI PLASTICHE		COPERCHIO IN PS COLORE BIANCO	1604UE	10gg 40°C	
25-000362	25LD00815	2025-06-01	3P PRODUZIONI PLASTICHE		COPERCHIO IN PS COLORE BIANCO	1501B	10gg 60°C	
25-000362	25LD00815	2025-06-01	3P PRODUZIONI PLASTICHE		COPERCHIO IN PS COLORE BIANCO	1621A	10gg 40°C	
25-000362	25LD00815	2025-06-01	3P PRODUZIONI PLASTICHE		COPERCHIO IN PS COLORE BIANCO	1622B	10gg 40°C	
25-000362	25LD00815	2025-06-01	3P PRODUZIONI PLASTICHE		COPERCHIO IN PS COLORE BIANCO	1625D2	10gg 40°C	
25-000362	25LD00815	2025-06-01	3P PRODUZIONI PLASTICHE		COPERCHIO IN PS COLORE BIANCO	1502B	10gg 60°C	
25-000362	25LD00815	2025-06-01	3P PRODUZIONI PLASTICHE		COPERCHIO IN PS COLORE BIANCO	6015B	10gg 60°C	
25-000362	25LD00815	2025-06-01	3P PRODUZIONI PLASTICHE		COPERCHIO IN PS COLORE BIANCO	1115CNT		
